100 4950
0 76 45
0 95 79
0 52 51
0 20 28
0 38 43
0 98 66
0 2 31
0 25 13
0 81 17
0 55 77
0 78 76
0 70 31
0 6 54
0 9 14
0 23 88
0 90 70
0 48 88
0 19 28
0 17 54
0 39 51
0 68 62
0 28 84
0 62 97
0 26 16
0 27 15
0 97 23
0 18 48
0 3 8
0 89 85
0 32 5
0 14 26
0 37 19
0 60 70
0 42 4
0 56 95
0 79 70
0 8 77
0 50 76
0 59 4
0 77 37
0 13 21
0 11 20
0 36 2
0 99 43
0 30 79
0 34 32
0 1 26
0 72 73
0 84 85
0 31 5
0 16 45
0 58 61
0 51 20
0 49 94
0 71 80
0 12 66
0 73 39
0 82 52
0 67 84
0 57 91
0 75 19
0 96 73
0 43 69
0 10 51
0 35 55
0 88 3
0 41 63
0 22 72
0 44 20
0 61 38
0 5 17
0 46 79
0 69 3
0 40 30
0 33 72
0 21 70
0 15 14
0 63 43
0 92 49
0 66 95
0 74 42
0 80 28
0 85 44
0 53 12
0 45 24
0 54 58
0 4 27
0 65 74
0 64 38
0 24 92
0 7 31
0 83 60
0 86 98
0 94 78
0 47 29
0 87 31
0 93 50
0 29 67
0 91 72
1 8 2
1 2 15
1 91 15
1 94 40
1 95 32
1 90 34
1 27 32
1 33 1
1 40 19
1 47 13
1 98 32
1 55 57
1 48 45
1 13 14
1 88 81
1 99 92
1 57 10
1 12 25
1 18 47
1 96 64
1 85 39
1 30 14
1 7 18
1 82 48
1 80 76
1 54 63
1 36 83
1 60 69
1 67 54
1 28 15
1 44 45
1 59 98
1 92 74
1 21 63
1 77 37
1 62 18
1 63 75
1 14 76
1 97 42
1 51 83
1 20 40
1 38 47
1 73 100
1 76 29
1 17 4
1 42 4
1 22 38
1 69 72
1 66 35
1 78 85
1 58 99
1 50 46
1 45 83
1 89 64
1 0 26
1 37 52
1 35 96
1 39 87
1 46 95
1 84 85
1 68 86
1 3 14
1 70 87
1 74 50
1 52 90
1 87 97
1 53 37
1 86 74
1 11 70
1 75 35
1 19 64
1 24 30
1 72 56
1 79 61
1 32 75
1 4 59
1 61 3
1 43 63
1 83 13
1 10 19
1 23 25
1 29 88
1 6 93
1 93 25
1 34 5
1 64 29
1 49 66
1 81 84
1 25 81
1 16 80
1 5 89
1 26 44
1 31 37
1 9 93
1 56 14
1 15 12
1 65 82
1 71 76
1 41 93
2 83 44
2 45 23
2 1 15
2 24 8
2 25 65
2 0 31
2 97 90
2 10 63
2 66 46
2 6 80
2 61 29
2 58 13
2 22 48
2 28 9
2 51 40
2 65 27
2 70 64
2 54 23
