5000 94300
0 2329 1321
0 737 2202
0 1679 2791
0 3669 5002
0 513 8890
0 4696 10702
0 4139 14912
0 145 17399
0 1473 18505
0 4202 25649
0 1508 27168
0 4581 33519
0 3696 35481
0 1455 35737
0 1044 40493
0 3666 43569
0 4644 44562
0 3820 44766
0 1033 46467
0 1707 47131
0 4661 48985
0 2368 55873
0 1755 66070
0 3330 66400
0 1644 68621
0 661 68686
0 3570 74082
0 4042 77463
0 1013 77624
0 3492 79160
0 1961 81512
0 442 88900
0 4604 90600
0 4683 94338
1 684 4967
1 764 6952
1 3457 9001
1 841 11220
1 1970 12785
1 4502 12921
1 4602 24182
1 977 25479
1 768 25683
1 3598 28426
1 4084 28873
1 3803 29846
1 1551 35875
1 4279 37043
1 2086 38087
1 4339 39000
1 3366 48727
1 4896 52264
1 2761 62553
1 4621 62956
1 468 62967
1 1361 63383
1 1603 67163
1 2306 68315
1 3986 68846
1 2880 69145
1 47 71691
1 1229 71989
1 2624 72761
1 1754 77005
1 4423 77419
1 3842 81600
1 945 87729
1 2240 88779
1 4809 88859
1 4079 89937
1 3823 92735
1 297 93768
2 4509 623
2 3213 1297
2 374 2573
2 252 3233
2 236 3521
2 4685 12013
2 4561 12082
2 1718 13032
2 2680 13918
2 996 13976
2 591 19000
2 727 20562
2 613 28365
2 679 29740
2 1258 30856
2 2347 38803
2 2221 39208
2 3267 42616
2 3827 44332
2 1206 44466
2 1578 45536
2 3030 46647
2 3066 50876
2 2497 51202
2 3017 52011
2 4177 52987
2 1488 60816
2 2128 60859
2 4254 60968
2 4634 63320
2 1548 63908
2 2224 64228
2 2730 69474
2 3167 70125
2 3411 73521
2 713 82591
2 1046 84004
2 1344 89505
2 2570 89944
2 1337 93600
3 947 1718
3 3055 3987
3 582 7129
3 2332 8500
3 2013 9390
3 2925 9940
3 2715 16673
3 2558 26771
3 936 27752
3 4510 30751
3 4071 34468
3 4239 36042
3 2027 37338
3 4487 37956
3 1600 38802
3 1029 40308
3 4461 41485
3 1275 42012
3 4577 43080
3 4884 45821
3 1332 46318
3 1668 49484
3 372 51862
3 1207 55503
3 1184 57481
3 354 59817
3 124 60289
3 4195 64932
3 4313 65804
3 4802 71959
3 1315 75150
3 3533 79234
3 1255 80479
3 4054 81712
3 4600 81723
3 4339 85291
3 233 87269
3 3875 87417
3 2202 88911
3 1574 89810
4 3621 2157
4 3124 7036
4 104 10177
4 68 11482
4 587 13439
4 4534 22259
4 4374 23605
4 3676 24202
4 153 28442
4 2471 29184
4 1315 31246
4 3912 35894
4 1276 41929
4 4653 43821
4 4917 44652
4 1141 47576
4 2053 49888
4 694 50996
4 1936 52263
4 4651 56956
4 4491 57279
4 1458 59384
4 1066 59551
4 1851 59725
4 3656 60477
4 3670 61834
4 3700 61872
4 3119 62128
4 1409 63122
4 1429 63517
4 4782 65956
4 1580 66367
4 2074 66473
4 4886 68899
4 856 71319
4 3929 71663
4 1982 71735
4 221 74360
4 2675 74525
4 1016 81144
4 1740 85069
4 4848 89693
4 4057 92680
5 3530 1498
5 2781 1706
5 4707 6565
5 4829 8273
5 1465 8888
5 3178 9391
5 3100 12426
5 546 16920
5 4864 20825
5 1333 21321
5 248 28777
5 1403 30305
5 151 32603
5 1760 33704
5 725 33728
5 1810 33746
5 3437 33844
5 4640 39039
5 4960 39698
5 2875 49624
5 2847 49963
5 477 54019
5 4823 56247
5 2480 56631
5 4897 57039
5 2387 58019
5 497 58142
5 284 58935
5 1942 64631
5 2104 67385
5 3412 67441
5 1420 68862
5 2604 72599
5 1784 73379
5 1410 74703
5 1157 75557
5 406 77851
5 2712 78383
5 479 78726
5 1814 83506
5 2527 94460
6 2629 1915
6 3440 5523
6 1947 5822
6 2973 5871
6 4634 6022
6 676 9540
6 2337 11273
6 1275 11722
6 1565 16927
6 3565 18595
6 2289 19597
6 186 23323
6 52 25395
6 1982 31840
6 1390 35448
6 1443 37315
6 471 39082
6 3740 47974
6 4303 52058
6 4581 52629
6 1091 53812
6 3154 56941
6 1376 57107
6 2023 62717
6 4649 66646
6 2791 67172
6 1352 67415
6 4092 68463
6 417 69050
6 3657 70459
6 3662 76056
6 2787 78571
6 3931 79046
6 3621 79065
6 1303 79646
6 995 84962
6 2771 88623
7 3518 474
7 4569 652
7 753 12760
7 4422 14162
7 972 19666
7 3107 19807
7 3280 21885
7 2088 22390
7 1537 29011
7 4000 31458
7 1607 32451
7 897 33588
7 749 39724
7 4634 40540
7 3246 41829
7 4972 42965
7 4453 43325
7 4839 44651
