100 1000
0 30 18
0 28 70
0 4 57
0 42 74
0 41 87
0 10 67
0 25 94
0 21 57
0 62 48
0 84 17
0 98 45
0 33 68
0 52 51
0 64 90
0 96 78
0 53 62
0 38 73
0 48 20
0 24 36
0 9 87
0 17 33
1 58 20
1 68 28
1 46 56
1 26 59
1 73 19
1 16 27
1 95 38
1 24 16
1 60 73
1 97 38
1 25 9
1 21 17
1 64 58
1 9 29
1 98 42
2 75 42
2 83 56
2 26 17
2 50 57
2 97 65
2 4 19
2 17 72
2 81 4
2 77 39
2 52 31
2 67 89
2 78 2
2 49 37
2 22 24
2 54 64
2 74 82
2 89 7
2 15 41
2 88 92
2 31 14
3 14 38
3 16 1
3 15 8
3 51 78
3 37 20
3 73 35
3 48 95
3 11 52
3 82 88
3 4 8
3 31 35
3 39 89
3 21 97
3 79 54
4 73 55
4 66 63
4 0 57
4 79 88
4 72 47
4 51 81
4 16 5
4 2 19
4 6 57
4 14 88
4 89 99
4 9 79
4 60 76
4 68 67
4 62 13
4 11 66
4 3 8
4 96 85
4 26 17
4 70 18
5 48 75
5 91 43
5 50 77
5 64 32
5 98 98
5 66 85
5 16 30
5 14 13
5 27 49
5 13 29
5 31 2
5 77 96
5 85 49
5 94 32
5 81 79
5 42 11
5 33 5
5 95 51
5 20 43
5 62 54
6 28 73
6 41 85
6 77 7
6 74 23
6 45 42
6 53 71
6 21 90
6 86 43
6 62 71
6 94 94
6 4 57
6 38 50
6 40 82
6 46 17
6 20 11
6 33 21
6 83 87
6 66 60
6 98 94
6 65 78
6 90 27
6 75 51
6 56 40
6 91 25
6 9 86
6 13 83
6 69 10
6 64 66
6 16 98
7 18 57
7 81 78
7 82 28
7 16 59
7 19 63
7 21 54
7 54 14
7 31 14
7 73 38
7 57 77
7 93 58
7 88 54
7 12 23
7 38 74
7 96 98
7 69 86
7 34 54
7 78 80
7 11 97
7 26 90
7 56 59
7 17 2
7 77 2
8 83 75
8 63 22
8 68 7
8 25 99
8 24 80
8 49 2
8 45 21
8 92 35
8 59 22
8 46 11
8 48 70
8 29 49
8 89 72
8 93 91
8 78 56
8 55 12
8 80 28
8 53 63
8 84 92
8 96 25
8 34 54
8 31 16
8 32 78
8 35 31
8 70 11
9 41 32
9 68 11
9 95 54
9 51 5
9 17 34
9 16 85
9 48 69
9 89 2
9 25 84
9 94 73
9 62 53
9 60 39
9 38 6
9 97 98
9 4 79
9 21 31
9 98 100
9 30 60
9 56 77
9 55 39
